 Id ;Hashtag;Seed Tweets;Expanded Tweets;Hashtag Tweets;User Count;Organized Labels;Other Labels
231;podestaemails20;2904;288231;3629;840;ORGANIZED;"POLITICAL	TRUMP	"
232;maga;6359;287495;32984;994;;"POLITICAL	TRUMP	"
233;nationalsiblingsday;1175;287452;1421;953;ORGANIC;"NON-POLITICAL IRRELEVANT	"
234;nationalsiblingsday;1155;286169;1399;933;ORGANIC;"NON-POLITICAL IRRELEVANT	"
235;nationalsiblingsday;1157;285930;1345;940;ORGANIC;"NON-POLITICAL IRRELEVANT	"
236;nationalpetday;1384;285764;1793;930;ORGANIC;"NON-POLITICAL IRRELEVANT	"
237;maga;7016;285646;34348;999;;"POLITICAL	TRUMP	"
238;americafirst;1465;284997;2722;609;ORGANIZED;"POLITICAL	TRUMP	"
239;nationalpetday;1266;284901;1726;929;ORGANIC;"NON-POLITICAL IRRELEVANT	"
240;nationalsiblingsday;1252;284757;1592;944;ORGANIC;"NON-POLITICAL IRRELEVANT	"
241;nationalsiblingsday;1267;284485;1462;951;ORGANIC;"NON-POLITICAL IRRELEVANT	"
242;nationalsiblingsday;1189;283997;1413;934;ORGANIC;"NON-POLITICAL IRRELEVANT	"
243;nationalsiblingsday;1195;283878;1338;961;ORGANIC;"NON-POLITICAL IRRELEVANT	"
244;anthonyweiner;1398;283386;1041;611;ORGANIZED;"POLITICAL	TRUMP	"
245;crookedhillary;7079;283380;9000;1193;ORGANIZED;"POLITICAL	TRUMP	"
246;nationalpetday;1287;283378;1554;911;ORGANIC;"NON-POLITICAL IRRELEVANT	"
247;stoptrump;1245;282999;2911;839;;"POLITICAL	HILLARY"
248;nationalsiblingsday;1218;282695;1457;959;ORGANIC;"NON-POLITICAL IRRELEVANT	"
249;election;5010;282499;2484;980;ORGANIC;"POLITICAL	IRRELEVANT	"
250;news;16149;282184;94388;482;ORGANIC;"NON-POLITICAL IRRELEVANT	"
251;nationalpetday;1257;282148;1508;931;ORGANIC;"NON-POLITICAL IRRELEVANT	"
