 Id ;Hashtag;Seed Tweets;Expanded Tweets;Hashtag Tweets;User Count;Organized Labels;Other Labels
636;nodapl;3000;113698;8467;528;ORGANIZED;"POLITICAL	IRRELEVANT	"
637;draintheswamp;3599;113436;9533;577;ORGANIZED;"POLITICAL	TRUMP	"
638;imwithher;1779;113264;3337;377;ORGANIZED;"POLITICAL	HILLARY"
639;bigdata;1728;112745;9477;418;ORGANIC;"NON-POLITICAL IRRELEVANT	"
640;imwithher;882;112482;1493;459;ORGANIZED;"POLITICAL	HILLARY"
641;nodapl;2802;112477;9499;514;ORGANIZED;"POLITICAL	IRRELEVANT	"
642;wikileaks;1273;112341;5935;667;ORGANIZED;"POLITICAL	TRUMP	"
643;oscarsmistake;426;112282;402;399;ORGANIC_T;
644;americafirst;1077;112203;1961;452;ORGANIZED;"POLITICAL	TRUMP	"
645;nodapl;3516;111623;14663;508;ORGANIZED;"POLITICAL	IRRELEVANT	"
646;voterfraud;806;110996;1386;500;ORGANIZED;"POLITICAL	"
647;imwithher;1706;110644;3524;332;ORGANIZED;"POLITICAL	HILLARY"
648;pjnet;380;110457;1790;241;ORGANIZED;
649;tcot;2112;110343;2965;398;ORGANIZED;
650;strongertogether;1160;110260;2455;436;ORGANIZED;"POLITICAL	HILLARY"
651;trumptrain;722;109512;2230;323;ORGANIZED;"POLITICAL	TRUMP	"
652;trumptrain;722;109512;2230;323;ORGANIZED;"POLITICAL	TRUMP	"
653;nodapl;3322;109223;11717;480;ORGANIZED;"POLITICAL	IRRELEVANT	"
654;draintheswamp;1752;109101;0;301;ORGANIZED;
655;lovetrumpshate;1795;109061;935;403;ORGANIZED;"HILLARY	"
656;lovetrumpshate;1795;109061;937;403;ORGANIZED;"HILLARY	"
657;neverhillary;1303;109044;3627;391;ORGANIZED;"POLITICAL	TRUMP	"
658;neverhillary;1212;108830;3066;327;ORGANIZED;"POLITICAL	TRUMP	"
659;americafirst;959;108298;1442;446;ORGANIZED;"POLITICAL	TRUMP	"
660;nodapl;2345;108234;7308;445;ORGANIZED;"POLITICAL	IRRELEVANT	"
661;nodapl;2399;107441;10128;474;ORGANIZED;"POLITICAL	IRRELEVANT	"
662;americafirst;922;107416;1860;431;ORGANIZED;"POLITICAL	TRUMP	"
663;nodapl;2137;106962;7466;461;ORGANIZED;"POLITICAL	IRRELEVANT	"
664;americafirst;851;106920;1564;385;ORGANIZED;"POLITICAL	TRUMP	"
665;voterfraud;676;106371;1041;438;ORGANIZED;"POLITICAL	"
666;imwithher;1060;106165;5835;377;ORGANIZED;"POLITICAL	HILLARY"
667;obamacarefail;3136;105874;433;434;ORGANIZED;
668;americafirst;893;105830;1645;387;ORGANIZED;"POLITICAL	TRUMP	"
669;nodapl;2822;105679;8698;428;ORGANIZED;"POLITICAL	IRRELEVANT	"
670;nodapl;3300;105364;12330;507;ORGANIZED;"POLITICAL	IRRELEVANT	"
671;steveharvey;525;105328;405;357;ORGANIC_T;
672;tcot;1291;105143;3350;452;ORGANIZED;
673;strongertogether;979;105058;2221;372;ORGANIZED;"POLITICAL	HILLARY"
674;votetrumppence16;1611;104886;0;301;;
675;nodapl;2455;103466;11695;442;ORGANIZED;"POLITICAL	IRRELEVANT	"
676;imwithher;1668;103458;3576;345;ORGANIZED;"POLITICAL	HILLARY"
677;neverhillary;1213;103444;3620;357;ORGANIZED;"POLITICAL	TRUMP	"
678;tcot;1763;103339;2521;337;ORGANIZED;
679;strongertogether;1352;103124;3276;479;ORGANIZED;"POLITICAL	HILLARY"
680;americafirst;704;103016;1706;303;ORGANIZED;"POLITICAL	TRUMP	"
681;makeamericagreatagain;2331;102982;3433;343;ORGANIZED;"POLITICAL	TRUMP	"
682;makeamericagreatagain;2331;102982;3433;343;ORGANIZED;"POLITICAL	TRUMP	"
683;neverhillary;1402;102624;3738;382;ORGANIZED;"POLITICAL	TRUMP	"
684;strongertogether;764;102497;1713;361;ORGANIZED;"POLITICAL	HILLARY"
685;strongertogether;1218;102155;1143;176;ORGANIZED;"POLITICAL	HILLARY"
686;strongertogether;1019;101728;2302;413;ORGANIZED;"POLITICAL	HILLARY"
687;voterfraud;795;101662;1282;418;ORGANIZED;"POLITICAL	"
688;imwithher;990;101644;5856;377;ORGANIZED;"POLITICAL	HILLARY"
689;podestaemails14;1892;101140;1812;477;ORGANIZED;"POLITICAL	TRUMP	"
690;americafirst;725;101086;1125;379;ORGANIZED;"POLITICAL	TRUMP	"
691;americafirst;1172;101069;2467;456;ORGANIZED;"POLITICAL	TRUMP	"
692;imwithher;1465;100867;3008;288;ORGANIZED;"POLITICAL	HILLARY"
693;americafirst;730;100669;1296;334;ORGANIZED;"POLITICAL	TRUMP	"
694;nodapl;1822;100626;7557;427;ORGANIZED;"POLITICAL	IRRELEVANT	"
695;imwithher;1410;100560;3324;312;ORGANIZED;"POLITICAL	HILLARY"
696;neverhillary;1381;100275;4069;349;ORGANIZED;"POLITICAL	TRUMP	"
697;neverhillary;1250;100146;3733;342;ORGANIZED;"POLITICAL	TRUMP	"
698;imwithher;1803;99932;4555;333;ORGANIZED;"POLITICAL	HILLARY"
699;americafirst;792;99611;1340;367;ORGANIZED;"POLITICAL	TRUMP	"
700;neverhillary;1145;99569;3049;301;ORGANIZED;"POLITICAL	TRUMP	"
701;neverhillary;1215;99424;3750;331;ORGANIZED;"POLITICAL	TRUMP	"
702;tcot;2187;98928;2392;355;ORGANIZED;
703;americafirst;604;98470;1534;305;ORGANIZED;"POLITICAL	TRUMP	"
704;neverhillary;1173;98432;3626;326;ORGANIZED;"POLITICAL	TRUMP	"
705;nodapl;2269;98314;9472;409;ORGANIZED;"POLITICAL	IRRELEVANT	"
706;nodapl;2528;98198;13151;427;ORGANIZED;"POLITICAL	IRRELEVANT	"
707;americafirst;997;98125;1649;413;ORGANIZED;"POLITICAL	TRUMP	"
708;voterfraud;670;97985;1026;430;ORGANIZED;"POLITICAL	"
709;neverhillary;1265;97740;3897;375;ORGANIZED;"POLITICAL	TRUMP	"
710;neverhillary;1205;97692;3928;326;ORGANIZED;"POLITICAL	TRUMP	"
711;nodapl;2280;97574;9377;417;ORGANIZED;"POLITICAL	IRRELEVANT	"
712;nodapl;2482;97504;5085;457;ORGANIZED;"POLITICAL	IRRELEVANT	"
713;teamtrump;649;97488;1181;393;ORGANIZED;"POLITICAL	TRUMP	"
714;neverhillary;1216;97279;3134;407;ORGANIZED;"POLITICAL	TRUMP	"
715;tcot;2522;97111;2177;409;ORGANIZED;
716;deplorable;495;97063;605;390;ORGANIZED_T;
717;americafirst;960;96793;1790;425;ORGANIZED;"POLITICAL	TRUMP	"
718;americafirst;751;96752;1131;367;ORGANIZED;"POLITICAL	TRUMP	"
719;americafirst;661;96718;1560;347;ORGANIZED;"POLITICAL	TRUMP	"
720;maga;924;96563;4565;339;;"POLITICAL	TRUMP	"
721;imwithher;1087;96458;5257;408;ORGANIZED;"POLITICAL	HILLARY"
722;imwithher;1381;96449;2998;321;ORGANIZED;"POLITICAL	HILLARY"
723;strongertogether;803;96388;1661;329;ORGANIZED;"POLITICAL	HILLARY"
724;neverhillary;1327;96196;3732;303;ORGANIZED;"POLITICAL	TRUMP	"
725;neverhillary;1193;96007;3775;351;ORGANIZED;"POLITICAL	TRUMP	"
726;imwithher;1330;95954;3384;306;ORGANIZED;"POLITICAL	HILLARY"
727;imwithher;1715;95822;3590;336;ORGANIZED;"POLITICAL	HILLARY"
728;tcot;974;95698;4135;336;ORGANIZED;
729;americafirst;580;95646;1525;267;ORGANIZED;"POLITICAL	TRUMP	"
730;wikileaks;1231;95567;4111;334;ORGANIZED;"POLITICAL	TRUMP	"
731;nodapl;1863;95435;6452;412;ORGANIZED;"POLITICAL	IRRELEVANT	"
732;neverhillary;1026;94963;2745;349;ORGANIZED;"POLITICAL	TRUMP	"
733;podestaemails;1711;94955;3294;597;ORGANIZED;"POLITICAL	TRUMP	"
734;neverhillary;1267;94915;3645;378;ORGANIZED;"POLITICAL	TRUMP	"
735;votehillary;3297;94800;1161;469;ORGANIZED;"POLITICAL	HILLARY"
736;neverhillary;1169;94790;3678;384;ORGANIZED;"POLITICAL	TRUMP	"
737;voterfraud;608;94750;885;389;ORGANIZED_T;
738;neverhillary;1324;94314;3964;338;ORGANIZED;"POLITICAL	TRUMP	"
739;jillnothill;1220;94095;1658;396;ORGANIZED;"POLITICAL	"
740;neverhillary;953;94094;2807;346;ORGANIZED;"POLITICAL	TRUMP	"
741;americafirst;725;93988;1269;345;ORGANIZED;"POLITICAL	TRUMP	"
742;americafirst;722;93829;1456;348;ORGANIZED;"POLITICAL	TRUMP	"
743;neverhillary;1317;93055;3462;384;ORGANIZED;"POLITICAL	TRUMP	"
744;clintonemailscandal;1263;92578;772;581;ORGANIZED;
745;neverhillary;1267;92556;3641;394;ORGANIZED;"POLITICAL	TRUMP	"
746;tcot;2255;92324;2148;371;ORGANIZED;
747;neverhillary;1190;92272;3490;315;ORGANIZED;"POLITICAL	TRUMP	"
748;neverhillary;1152;92120;3296;298;ORGANIZED;"POLITICAL	TRUMP	"
749;strongertogether;1110;92025;2399;366;ORGANIZED;"POLITICAL	HILLARY"
750;neverhillary;1138;91889;3333;338;ORGANIZED;"POLITICAL	TRUMP	"
751;nodapl;2404;91881;8954;385;ORGANIZED;"POLITICAL	IRRELEVANT	"
752;neverhillary;1268;91528;3737;361;ORGANIZED;"POLITICAL	TRUMP	"
753;neverhillary;1346;91442;4185;367;ORGANIZED;"POLITICAL	TRUMP	"
754;neverhillary;1065;91082;2547;330;ORGANIZED;"POLITICAL	TRUMP	"
755;maga;650;91048;7544;349;;"POLITICAL	TRUMP	"
756;americafirst;546;90956;1133;254;ORGANIZED;"POLITICAL	TRUMP	"
757;strongertogether;862;90569;2011;373;ORGANIZED;"POLITICAL	HILLARY"
758;strongertogether;903;90257;1825;344;ORGANIZED;"POLITICAL	HILLARY"
759;voterfraud;699;90252;1082;433;ORGANIZED;"POLITICAL	"
760;neverhillary;1142;90248;3618;302;ORGANIZED;"POLITICAL	TRUMP	"
761;strongertogether;1160;90183;2243;390;ORGANIZED;"POLITICAL	HILLARY"
762;trumppence2016;750;90158;1559;386;ORGANIZED;"POLITICAL	TRUMP	"
763;neverhillary;1287;89965;3237;384;ORGANIZED;"POLITICAL	TRUMP	"
764;neverhillary;1306;89945;4329;351;ORGANIZED;"POLITICAL	TRUMP	"
765;podestaemails;1521;89734;2554;560;ORGANIZED;"POLITICAL	TRUMP	"
766;imwithher;1218;89162;2550;279;ORGANIZED;"POLITICAL	HILLARY"
767;trumppence2016;730;88976;1661;353;ORGANIZED;"POLITICAL	TRUMP	"
768;imwithher;1414;88875;2702;287;ORGANIZED;"POLITICAL	HILLARY"
769;strongertogether;854;88601;1953;337;ORGANIZED;"POLITICAL	HILLARY"
770;clintoncrimefoundation;390;88341;309;362;ORGANIZED_T;
771;imwithher;1283;88231;2916;310;ORGANIZED;"POLITICAL	HILLARY"
772;voterfraud;624;88051;947;408;ORGANIZED_T;
773;neverhillary;1286;87974;3447;367;ORGANIZED;"POLITICAL	TRUMP	"
774;strongertogether;1289;87917;2282;377;ORGANIZED;"POLITICAL	HILLARY"
775;strongertogether;781;87883;1809;310;ORGANIZED;"POLITICAL	HILLARY"
776;neverhillary;1189;87514;3556;337;ORGANIZED;"POLITICAL	TRUMP	"
777;strongertogether;816;87389;1931;331;ORGANIZED;"POLITICAL	HILLARY"
778;imwithher;945;87238;2430;240;ORGANIZED;"POLITICAL	HILLARY"
779;votetrump;688;87187;1239;159;ORGANIZED;"POLITICAL	TRUMP	"
780;votetrump;688;87187;1239;159;ORGANIZED;"POLITICAL	TRUMP	"
781;trumppence2016;671;86351;1457;322;ORGANIZED;"POLITICAL	TRUMP	"
782;tcot;924;85933;2435;324;ORGANIZED;
783;neverhillary;1061;85820;2568;393;ORGANIZED;"POLITICAL	TRUMP	"
784;imwithher;1023;85803;2172;260;ORGANIZED;"POLITICAL	HILLARY"
785;imwithher;1073;85756;2349;252;ORGANIZED;"POLITICAL	HILLARY"
786;deplorable;500;85649;655;373;ORGANIZED_T;
787;imwithher;1511;85498;2794;296;ORGANIZED;"POLITICAL	HILLARY"
788;strongertogether;1038;85480;2279;395;ORGANIZED;"POLITICAL	HILLARY"
789;imwithher;1195;85398;5127;367;ORGANIZED;"POLITICAL	HILLARY"
790;neverhillary;1169;85110;2726;375;ORGANIZED;"POLITICAL	TRUMP	"
791;americafirst;533;85001;1077;277;ORGANIZED;"POLITICAL	TRUMP	"
792;neverhillary;1318;84765;3801;374;ORGANIZED;"POLITICAL	TRUMP	"
793;neverhillary;1239;84553;3515;378;ORGANIZED;"POLITICAL	TRUMP	"
794;americafirst;664;84525;1563;316;ORGANIZED;"POLITICAL	TRUMP	"
795;tcot;2665;84518;2202;399;ORGANIZED;
796;strongertogether;950;84467;2159;362;ORGANIZED;"POLITICAL	HILLARY"
797;strongertogether;1191;84345;2193;374;ORGANIZED;"POLITICAL	HILLARY"
798;strongertogether;818;84304;1950;344;ORGANIZED;"POLITICAL	HILLARY"
799;newunitedairlinesmottos;531;84135;1081;252;ORGANIC;"NON-POLITICAL IRRELEVANT	"
800;teamtrump;547;83721;1235;281;ORGANIZED;"POLITICAL	TRUMP	"
801;neverhillary;3196;83506;2713;456;ORGANIZED;"POLITICAL	TRUMP	"
802;americafirst;581;83469;1259;274;ORGANIZED;"POLITICAL	TRUMP	"
803;neverhillary;1175;83342;3053;353;ORGANIZED;"POLITICAL	TRUMP	"
804;podestaemails;1499;83021;2499;485;ORGANIZED;"POLITICAL	TRUMP	"
805;strongertogether;902;82968;2219;352;ORGANIZED;"POLITICAL	HILLARY"
806;imwithher;1135;82827;5841;379;ORGANIZED;"POLITICAL	HILLARY"
807;americafirst;726;82781;1857;311;ORGANIZED;"POLITICAL	TRUMP	"
808;neverhillary;1230;82355;3089;362;ORGANIZED;"POLITICAL	TRUMP	"
809;americafirst;664;82171;1542;323;ORGANIZED;"POLITICAL	TRUMP	"
810;strongertogether;912;81764;2108;335;ORGANIZED;"POLITICAL	HILLARY"
811;neverhillary;1988;81594;0;301;ORGANIZED;
812;americafirst;619;81524;1766;272;ORGANIZED;"POLITICAL	TRUMP	"
813;tcot;833;81438;2271;319;ORGANIZED;
814;strongertogether;796;80656;1769;351;ORGANIZED;"POLITICAL	HILLARY"
815;strongertogether;801;80597;1937;299;ORGANIZED;"POLITICAL	HILLARY"
816;neverhillary;1125;80530;2975;355;ORGANIZED;"POLITICAL	TRUMP	"
817;americafirst;685;80287;1418;304;ORGANIZED;"POLITICAL	TRUMP	"
818;americafirst;706;80130;1818;334;ORGANIZED;"POLITICAL	TRUMP	"
819;neverhillary;1135;80004;2639;356;ORGANIZED;"POLITICAL	TRUMP	"
820;imwithher;1048;79846;2866;267;ORGANIZED;"POLITICAL	HILLARY"
821;imwithher;1093;79742;2397;272;ORGANIZED;"POLITICAL	HILLARY"
822;americafirst;517;79632;1351;233;ORGANIZED;"POLITICAL	TRUMP	"
823;americafirst;706;79612;1713;311;ORGANIZED;"POLITICAL	TRUMP	"
824;imwithher;1167;79304;2624;278;ORGANIZED;"POLITICAL	HILLARY"
825;imwithher;1001;79079;2058;272;ORGANIZED;"POLITICAL	HILLARY"
826;americafirst;652;78628;1100;310;ORGANIZED;"POLITICAL	TRUMP	"
827;americafirst;660;78367;1053;319;ORGANIZED;"POLITICAL	TRUMP	"
828;imwithher;1059;78177;2112;281;ORGANIZED;"POLITICAL	HILLARY"
829;strongertogether;619;77958;1734;322;ORGANIZED;"POLITICAL	HILLARY"
830;nevertrump;804;77935;3418;300;;"POLITICAL	HILLARY"
831;neverhillary;1157;77892;2747;357;ORGANIZED;"POLITICAL	TRUMP	"
832;podestaemails;1355;77889;2416;472;ORGANIZED;"POLITICAL	TRUMP	"
833;maga;1001;77777;6401;256;;"POLITICAL	TRUMP	"
834;imwithher;896;77516;2595;248;ORGANIZED;"POLITICAL	HILLARY"
835;americafirst;726;77470;1262;314;ORGANIZED;"POLITICAL	TRUMP	"
836;neverhillary;1182;77288;2615;370;ORGANIZED;"POLITICAL	TRUMP	"
837;imwithher;966;76995;2189;265;ORGANIZED;"POLITICAL	HILLARY"
838;americafirst;563;76929;1427;250;ORGANIZED;"POLITICAL	TRUMP	"
839;americafirst;690;76529;1334;315;ORGANIZED;"POLITICAL	TRUMP	"
840;draintheswamp;809;76276;4779;268;ORGANIZED;"POLITICAL	TRUMP	"
841;americafirst;819;76154;1387;335;ORGANIZED;"POLITICAL	TRUMP	"
842;imwithher;1080;76119;2195;237;ORGANIZED;"POLITICAL	HILLARY"
843;imwithher;1112;76050;2997;244;ORGANIZED;"POLITICAL	HILLARY"
844;strongertogether;829;75335;2235;298;ORGANIZED;"POLITICAL	HILLARY"
845;americafirst;635;74548;1082;293;ORGANIZED;"POLITICAL	TRUMP	"
846;americafirst;548;74483;1329;254;ORGANIZED;"POLITICAL	TRUMP	"
847;imwithher;962;74422;1721;257;ORGANIZED;"POLITICAL	HILLARY"
848;americafirst;685;73739;1433;308;ORGANIZED;"POLITICAL	TRUMP	"
849;imwithher;1141;73690;2026;253;ORGANIZED;"POLITICAL	HILLARY"
850;corrupthillary;1691;73268;1991;814;ORGANIZED;"POLITICAL	TRUMP	"
851;imwithher;841;72965;2070;259;ORGANIZED;"POLITICAL	HILLARY"
852;pjnet;2281;72906;3341;170;ORGANIZED;
853;imwithher;993;72339;1930;238;ORGANIZED;"POLITICAL	HILLARY"
854;nationalpetday;358;72038;570;252;ORGANIC_T;
855;americafirst;758;71506;1473;312;ORGANIZED;"POLITICAL	TRUMP	"
856;imwithher;938;70811;2370;244;ORGANIZED;"POLITICAL	HILLARY"
857;imwithher;912;70765;1996;215;ORGANIZED;"POLITICAL	HILLARY"
858;imwithher;979;70643;1648;381;ORGANIZED;"POLITICAL	HILLARY"
859;trumppence2016;629;70077;1183;306;ORGANIZED;"POLITICAL	TRUMP	"
860;podestaemails33;2587;70040;2774;433;ORGANIZED;"POLITICAL	TRUMP	"
861;trumppence2016;707;70000;1459;292;ORGANIZED;"POLITICAL	TRUMP	"
862;strongertogether;1060;69957;1757;336;ORGANIZED;"POLITICAL	HILLARY"
863;americafirst;658;69670;1175;313;ORGANIZED;"POLITICAL	TRUMP	"
864;imwithher;1129;69660;2440;331;ORGANIZED;"POLITICAL	HILLARY"
865;imwithher;819;69053;2313;223;ORGANIZED;"POLITICAL	HILLARY"
866;teamtrump;618;68916;1199;339;ORGANIZED;"POLITICAL	TRUMP	"
867;neverhillary;909;68597;2768;239;ORGANIZED;"POLITICAL	TRUMP	"
868;imwithher;738;68032;1448;221;ORGANIZED;"POLITICAL	HILLARY"
869;imwithher;765;67837;1863;220;ORGANIZED;"POLITICAL	HILLARY"
870;americafirst;574;67582;1002;292;ORGANIZED;"POLITICAL	TRUMP	"
871;imwithher;854;66977;1995;214;ORGANIZED;"POLITICAL	HILLARY"
872;imwithher;1035;66392;2063;239;ORGANIZED;"POLITICAL	HILLARY"
873;uniteblue;743;65182;2995;238;ORGANIZED;"POLITICAL	HILLARY"
874;imwithher;1030;65136;2318;205;ORGANIZED;"POLITICAL	HILLARY"
875;imwithher;1287;64175;2658;249;ORGANIZED;"POLITICAL	HILLARY"
876;imwithher;1068;63981;2279;210;ORGANIZED;"POLITICAL	HILLARY"
877;americafirst;563;62237;780;301;ORGANIZED_T;
878;trumptrain;422;61889;1888;128;ORGANIZED;"POLITICAL	TRUMP	"
879;trumptrain;422;61889;1888;128;ORGANIZED;"POLITICAL	TRUMP	"
880;imwithher;771;61558;2002;329;ORGANIZED;"POLITICAL	HILLARY"
881;hillarysemail;3187;61208;3329;795;ORGANIZED;"POLITICAL	TRUMP	"
882;imwithher;796;59413;2000;192;ORGANIZED;"POLITICAL	HILLARY"
883;tcot;856;59397;1815;261;ORGANIZED;
884;trumppence2016;318;56924;594;203;ORGANIZED_T;
885;neverhillary;720;56753;2252;417;ORGANIZED;"POLITICAL	TRUMP	"
886;boycotthamilton;780;56220;1099;301;ORGANIZED;"POLITICAL	TRUMP	"
887;hillarybecause;745;55502;455;400;ORGANIZED;
888;tcot;1524;55308;1065;147;ORGANIZED;
889;lockherup;2383;54566;1699;401;ORGANIZED;"POLITICAL	TRUMP	"
890;imwithher;1177;54323;2853;214;ORGANIZED;"POLITICAL	HILLARY"
891;imwithher;658;54004;1356;179;ORGANIZED;"POLITICAL	HILLARY"
892;pjnet;795;53578;763;192;ORGANIZED_T;
893;emailscandal;1396;51913;1041;736;ORGANIZED;"POLITICAL	TRUMP	"
894;imwithher;1061;51833;2350;260;ORGANIZED;"POLITICAL	HILLARY"
895;podestaemails20;816;51747;1036;148;ORGANIZED;"POLITICAL	TRUMP	"
896;imwithher;369;50915;755;208;ORGANIZED;
897;pjnet;1042;49918;1432;173;ORGANIZED;
898;imwithher;920;49828;2151;204;ORGANIZED;"POLITICAL	HILLARY"
899;strongertogether;3980;49536;3869;772;ORGANIZED;"POLITICAL	HILLARY"
900;trumptrain;492;48875;1850;174;ORGANIZED;"POLITICAL	TRUMP	"
901;imwithher;968;48793;2434;212;ORGANIZED;"POLITICAL	HILLARY"
902;imwithher;1153;48384;2593;222;ORGANIZED;"POLITICAL	HILLARY"
903;maga3x;1951;47935;1947;373;ORGANIZED;"POLITICAL	TRUMP	"
904;trumppence16;249;47933;1373;136;ORGANIZED;"POLITICAL	TRUMP	"
905;deplorable;193;47341;188;161;ORGANIZED_T;
906;trumppence2016;290;47172;513;174;ORGANIZED_T;
907;nevertrump;2934;46089;3286;388;;"POLITICAL	HILLARY"
908;trumppence2016;296;45174;622;173;ORGANIZED_T;
909;pjnet;1050;45161;652;171;ORGANIZED_T;
910;bigdata;644;44265;2415;147;ORGANIC;"NON-POLITICAL IRRELEVANT	"
911;lockherup;1128;44088;273;287;ORGANIZED;
912;crookedhillary;490;43292;1823;300;ORGANIZED;"POLITICAL	TRUMP	"
913;imwithher;620;42901;1332;201;ORGANIZED;"POLITICAL	HILLARY"
914;votetrump2016;463;42687;399;314;ORGANIZED;
915;votetrump2016;463;42687;399;314;ORGANIZED;
916;whysheruns;457;41585;388;308;;
917;votehillary;2441;39848;1080;324;ORGANIZED;"POLITICAL	HILLARY"
918;pjnet;1332;39349;1103;190;ORGANIZED;
919;corrupthillary;733;39054;1011;263;ORGANIZED;"POLITICAL	TRUMP	"
920;podestaemails14;657;35911;644;126;ORGANIZED_T;
921;americafirst;233;34954;621;115;ORGANIZED_T;
922;gohillary;1723;34335;2143;310;ORGANIZED;"POLITICAL	HILLARY"
923;votehillary;1914;33782;827;246;ORGANIZED;"HILLARY	"
924;voterfraud;241;33157;342;110;ORGANIZED_T;
925;tcot;424;31535;914;120;ORGANIZED_T;
926;emailscandal;679;30272;409;365;ORGANIZED;
927;tcot;599;28281;759;80;ORGANIZED_T;
928;trumptrain;513;28245;1480;109;ORGANIZED;"POLITICAL	TRUMP	"
929;notmypresident;1649;27617;2037;384;;"POLITICAL	HILLARY"
930;wikileaks;1045;27357;3022;184;ORGANIZED;"POLITICAL	TRUMP	"
931;notmypresident;1222;26640;1320;233;;"POLITICAL	HILLARY"
932;pjnet;404;24994;1149;73;ORGANIZED;
933;whitegenocide;605;24907;507;75;ORGANIZED_T;
934;trumppence16;1064;23324;1706;159;ORGANIZED;"POLITICAL	TRUMP	"
935;trumppence16;1064;23324;1706;159;ORGANIZED;"POLITICAL	TRUMP	"
936;nevertrump;1053;19945;1475;142;;"POLITICAL	HILLARY"
937;teamtrump;150;19591;219;62;ORGANIZED_T;
938;wikileaks;1245;13162;1851;151;ORGANIZED;"POLITICAL	TRUMP	"
939;americafirst;89;12930;327;36;ORGANIZED_T;
940;votehillary;608;12775;270;58;ORGANIZED;
941;strongertogether;108;12073;246;30;ORGANIZED;
942;yemen;128;10335;290;36;;
943;strongertogether;105;4430;146;17;ORGANIZED;
